item slot,add or replace,item ID,number to add
1,add,1,6
2,add,2,0
3,add,3,0
4,add,4,0
5,add,5,0
6,add,6,0
7,add,7,0
8,add,8,0
9,add,9,0
10,add,10,0
11,add,11,0
12,add,12,0
13,add,13,0
14,add,14,0
15,add,15,0
16,add,16,0
17,add,17,0
18,add,18,0
19,add,19,0
20,add,20,0
21,add,21,0
22,add,22,0
23,add,23,0
24,add,24,0
25,add,25,0
26,add,26,0
27,add,27,0
28,add,28,0
29,add,29,0
30,add,30,0
31,add,31,0
32,add,32,0
33,add,33,0
34,add,34,0
35,add,35,0
36,add,36,0
37,add,37,0
38,add,38,-1
39,add,39,0
40,add,40,0
